"","Date","Value","CountryCode","Country"
"357",1968-12-31,229918.93,"DEU","Germany"
"358",1965-12-31,230335.89,"DEU","Germany"
"359",1961-12-31,192077.09,"DEU","Germany"
"360",1957-12-31,137796.21,"DEU","Germany"
"361",1950-12-31,87910.58,"DEU","Germany"
"362",1938-12-31,127421.83,"DEU","Germany"
"363",1937-12-31,105747.15,"DEU","Germany"
"364",1936-12-31,86643.63,"DEU","Germany"
"365",1935-12-31,69427.94,"DEU","Germany"
"366",1934-12-31,60151.67,"DEU","Germany"
"367",1933-12-31,52365.56,"DEU","Germany"
"368",1932-12-31,53163.1,"DEU","Germany"
"369",1929-12-31,70159.96,"DEU","Germany"
"370",1928-12-31,72710.35,"DEU","Germany"
"371",1927-12-31,72429.2,"DEU","Germany"
"372",1926-12-31,68119.52,"DEU","Germany"
"373",1925-12-31,67964.47,"DEU","Germany"
"374",1999-12-31,229679.3,"IND","India"
"375",1998-12-31,223561.08,"IND","India"
"376",1997-12-31,262105.69,"IND","India"
"377",1996-12-31,207252.76,"IND","India"
"378",1995-12-31,199685.48,"IND","India"
"379",1994-12-31,180766.93,"IND","India"
"380",1993-12-31,179917.22,"IND","India"
"381",1992-12-31,136488.32,"IND","India"
"382",1991-12-31,139481.21,"IND","India"
"383",1990-12-31,147359.65,"IND","India"
"384",1989-12-31,154480.62,"IND","India"
"385",1988-12-31,150883.95,"IND","India"
"386",1987-12-31,134502.32,"IND","India"
"387",1986-12-31,140409.06,"IND","India"
"388",1985-12-31,134205.46,"IND","India"
"389",1984-12-31,100723.65,"IND","India"
"390",1983-12-31,101454.99,"IND","India"
"391",1982-12-31,68884.89,"IND","India"
"392",1981-12-31,67188.12,"IND","India"
"393",1980-12-31,72505.42,"IND","India"
"394",1979-12-31,80880.71,"IND","India"
"395",1978-12-31,87660.84,"IND","India"
"396",1977-12-31,87730.4,"IND","India"
"397",1976-12-31,99674.22,"IND","India"
"398",1975-12-31,87072.96,"IND","India"
"399",1974-12-31,82113.85,"IND","India"
"400",1973-12-31,97335.63,"IND","India"
"401",1971-12-31,113206.07,"IND","India"
"402",1970-12-31,133250.33,"IND","India"
"403",1968-12-31,125338.62,"IND","India"
"404",1967-12-31,126301.09,"IND","India"
"405",1966-12-31,123420.27,"IND","India"
"406",1965-12-31,135767.02,"IND","India"
"407",1964-12-31,128134.58,"IND","India"
"408",1962-12-31,139764.76,"IND","India"
"409",1961-12-31,145568.58,"IND","India"
"410",1960-12-31,146286.94,"IND","India"
"411",1959-12-31,136596.52,"IND","India"
"412",1958-12-31,134584.14,"IND","India"
"413",1957-12-31,136401.55,"IND","India"
"414",1956-12-31,136798.84,"IND","India"
"415",1955-12-31,148676.9,"IND","India"
"416",1954-12-31,148643.41,"IND","India"
"417",1953-12-31,113292.22,"IND","India"
"418",1950-12-31,119330.55,"IND","India"
"419",1949-12-31,107421.52,"IND","India"
"420",1948-12-31,104605.15,"IND","India"
"421",1947-12-31,112743.7,"IND","India"
"422",1945-12-31,104408.23,"IND","India"
"423",1944-12-31,104647.95,"IND","India"
"424",1943-12-31,96004.29,"IND","India"
"425",1941-12-31,159775.4,"IND","India"
"426",1940-12-31,173426.54,"IND","India"
"427",1939-12-31,164520.5,"IND","India"
"428",1938-12-31,173215.25,"IND","India"
"429",1937-12-31,148891.75,"IND","India"
"430",1936-12-31,151630.93,"IND","India"
"431",1935-12-31,164687.25,"IND","India"
"432",1934-12-31,167082.21,"IND","India"
"433",1933-12-31,166931.51,"IND","India"
"434",1932-12-31,157712.35,"IND","India"
"435",1931-12-31,154954.56,"IND","India"
"436",1930-12-31,140360.9,"IND","India"
"437",1929-12-31,132428.31,"IND","India"
"438",1928-12-31,138579.69,"IND","India"
"439",1927-12-31,134385.12,"IND","India"
"440",1926-12-31,128806.66,"IND","India"
"441",1925-12-31,127934.67,"IND","India"
"442",1924-12-31,126488.72,"IND","India"
"443",1923-12-31,131410.66,"IND","India"
"444",1922-12-31,122909.92,"IND","India"
"445",2009-12-31,357800.45,"IRL","Ireland"
"446",2008-12-31,388948.57,"IRL","Ireland"
"447",2007-12-31,423020.83,"IRL","Ireland"
"448",2006-12-31,444108.67,"IRL","Ireland"
"449",2005-12-31,408496.21,"IRL","Ireland"
"450",2004-12-31,368853.82,"IRL","Ireland"
"451",2003-12-31,339956,"IRL","Ireland"
"452",2002-12-31,329468.6,"IRL","Ireland"
"453",2001-12-31,326981.27,"IRL","Ireland"
"454",2000-12-31,320827.47,"IRL","Ireland"
"455",1999-12-31,244332.79,"IRL","Ireland"
"456",1998-12-31,234404.21,"IRL","Ireland"
"457",1997-12-31,194154.59,"IRL","Ireland"
"458",1996-12-31,178126.12,"IRL","Ireland"
"459",1995-12-31,164599.77,"IRL","Ireland"
"460",1994-12-31,154418.72,"IRL","Ireland"
"461",1993-12-31,148428.97,"IRL","Ireland"
"462",1992-12-31,145537.17,"IRL","Ireland"
"463",1991-12-31,134157.34,"IRL","Ireland"
"464",1990-12-31,121513.94,"IRL","Ireland"
"465",1989-12-31,113632.01,"IRL","Ireland"
"466",1988-12-31,105596.6,"IRL","Ireland"
"467",1987-12-31,101358.72,"IRL","Ireland"
"468",1986-12-31,98541.8,"IRL","Ireland"
"469",1985-12-31,98183.31,"IRL","Ireland"
"470",1984-12-31,101597.08,"IRL","Ireland"
"471",1983-12-31,107091.65,"IRL","Ireland"
"472",1982-12-31,106136.81,"IRL","Ireland"
"473",1981-12-31,103191.98,"IRL","Ireland"
"474",1980-12-31,111505.37,"IRL","Ireland"
"475",1979-12-31,136226.49,"IRL","Ireland"
"476",1978-12-31,104537.36,"IRL","Ireland"
"477",1977-12-31,88138.13,"IRL","Ireland"
"478",1976-12-31,85162.59,"IRL","Ireland"
"479",1975-12-31,90518.27,"IRL","Ireland"
"480",1943-12-31,64119.88,"IRL","Ireland"
"481",1938-12-31,89393.4,"IRL","Ireland"
"482",2009-12-31,165254.48,"ITA","Italy"
"483",2008-12-31,173128.64,"ITA","Italy"
"484",2007-12-31,180415.61,"ITA","Italy"
"485",2006-12-31,177541.31,"ITA","Italy"
"486",2005-12-31,167003.07,"ITA","Italy"
"487",2004-12-31,164072.98,"ITA","Italy"
"488",2003-12-31,165725.01,"ITA","Italy"
"489",2002-12-31,162331.55,"ITA","Italy"
"490",2001-12-31,161406.35,"ITA","Italy"
"491",2000-12-31,153929.64,"ITA","Italy"
"492",1999-12-31,148220.3,"ITA","Italy"
"493",1998-12-31,143053.75,"ITA","Italy"
"494",1995-12-31,127132.67,"ITA","Italy"
"495",1994-12-31,127274.32,"ITA","Italy"
"496",1993-12-31,127165.18,"ITA","Italy"
"497",1992-12-31,131316.24,"ITA","Italy"
"498",1991-12-31,130657.24,"ITA","Italy"
"499",1990-12-31,127586.35,"ITA","Italy"
"500",1989-12-31,125099.94,"ITA","Italy"
"501",1988-12-31,118403.21,"ITA","Italy"
"502",1987-12-31,113093.03,"ITA","Italy"
"503",1986-12-31,105413.88,"ITA","Italy"
"504",1985-12-31,98512.3,"ITA","Italy"
"505",1984-12-31,93443.19,"ITA","Italy"
"506",1983-12-31,89371.37,"ITA","Italy"
"507",1982-12-31,90399.47,"ITA","Italy"
"508",1981-12-31,91542.45,"ITA","Italy"
"509",1980-12-31,94150.49,"ITA","Italy"
"510",1979-12-31,90943.78,"ITA","Italy"
"511",1978-12-31,84473.44,"ITA","Italy"
"512",1977-12-31,82089.26,"ITA","Italy"
"513",1976-12-31,83210.21,"ITA","Italy"
"514",1975-12-31,79142.16,"ITA","Italy"
